OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/2_1_floorplan.odb
read_sdc ./results/nangate45/ariane133/base/2_1_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
source /work/runs/run8_human_placement_400mhz/constraints/macro_placement.tcl
Run8 macro classify: icache_tag=12 icache_data=32 dcache_tag=24 dcache_data=64 total=132
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_6__data_sram.genblk1_1__i_ram/macro_mem_1 placed. Bounding box (475.870um, 87.675um), (553.580um, 128.275um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_6__data_sram.genblk1_1__i_ram/macro_mem_2 placed. Bounding box (553.580um, 87.675um), (631.290um, 128.275um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_6__data_sram.genblk1_1__i_ram/macro_mem_3 placed. Bounding box (651.290um, 87.675um), (729.000um, 128.275um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (729.000um, 87.675um), (806.710um, 128.275um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (826.710um, 87.675um), (904.420um, 128.275um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (904.420um, 87.675um), (982.130um, 128.275um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_0__i_ram/macro_mem_3 placed. Bounding box (1002.130um, 87.675um), (1079.840um, 128.275um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_1__i_ram/macro_mem_0 placed. Bounding box (1079.840um, 87.675um), (1157.550um, 128.275um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_1__i_ram/macro_mem_1 placed. Bounding box (1177.550um, 87.675um), (1255.260um, 128.275um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_1__i_ram/macro_mem_2 placed. Bounding box (1255.260um, 87.675um), (1332.970um, 128.275um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__data_sram.genblk1_1__i_ram/macro_mem_3 placed. Bounding box (1352.970um, 87.675um), (1430.680um, 128.275um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 1261.295um), (102.710um, 1301.895um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 1261.295um), (200.420um, 1301.895um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 1261.295um), (278.130um, 1301.895um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 1215.655um), (102.710um, 1256.255um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 1215.655um), (200.420um, 1256.255um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 1215.655um), (278.130um, 1256.255um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_2__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 1170.015um), (102.710um, 1210.615um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_2__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 1170.015um), (200.420um, 1210.615um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_2__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 1170.015um), (278.130um, 1210.615um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_3__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 1124.515um), (102.710um, 1165.115um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_3__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 1124.515um), (200.420um, 1165.115um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_3__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 1124.515um), (278.130um, 1165.115um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_4__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 158.235um), (102.710um, 198.835um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_4__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 158.235um), (200.420um, 198.835um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_4__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 158.235um), (278.130um, 198.835um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_5__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 203.875um), (102.710um, 244.475um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_5__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 203.875um), (200.420um, 244.475um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_5__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 203.875um), (278.130um, 244.475um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_6__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 249.515um), (102.710um, 290.115um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_6__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 249.515um), (200.420um, 290.115um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_6__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 249.515um), (278.130um, 290.115um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__tag_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (25.000um, 295.015um), (102.710um, 335.615um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__tag_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (122.710um, 295.015um), (200.420um, 335.615um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_7__tag_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (200.420um, 295.015um), (278.130um, 335.615um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (1067.160um, 937.755um), (1144.870um, 978.355um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (1164.870um, 937.755um), (1242.580um, 978.355um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (1242.580um, 937.755um), (1320.290um, 978.355um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_3 placed. Bounding box (1340.290um, 937.755um), (1418.000um, 978.355um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_0 placed. Bounding box (1067.160um, 892.115um), (1144.870um, 932.715um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_1 placed. Bounding box (1164.870um, 892.115um), (1242.580um, 932.715um). Orientation R0
